# Q1 Exp 3: Adiabatic-init vs warm-start optimization — 2026-04-29T07:45:47.216
k,D,p,gamma_max,beta_max,ctilde_seed,ctilde_adi_opt,ctilde_warm,delta_warm_minus_adi,iterations,wall_seconds,converged
2,8,8,1.5707963268,1.5707963268,0.500389646864,0.701371643274,0.717364943442,+0.015993300168,201,26.92,true
2,8,8,1.5707963268,2.3561944902,0.500873725883,0.697980736031,0.717364943442,+0.019384207411,184,25.50,true
2,8,8,3.1415926536,0.7853981634,0.501332893727,0.706764447435,0.717364943442,+0.010600496007,332,44.64,true
2,8,8,3.1415926536,1.5707963268,0.499991738133,0.694940534313,0.717364943442,+0.022424409129,233,34.93,true
2,8,8,3.1415926536,2.3561944902,0.498529518552,0.703321312166,0.717364943442,+0.014043631276,152,22.86,true
2,8,8,4.7123889804,0.7853981634,0.500005745969,0.695681552752,0.717364943442,+0.021683390690,264,36.87,true
2,8,8,4.7123889804,1.5707963268,0.492659973651,0.696766770640,0.717364943442,+0.020598172802,146,21.81,true
2,8,8,4.7123889804,2.3561944902,0.500206379129,0.694572325389,0.717364943442,+0.022792618053,147,20.59,true
2,8,8,6.2831853072,0.7853981634,0.499999988956,0.707965756023,0.717364943442,+0.009399187419,233,33.94,true
2,8,8,6.2831853072,1.5707963268,0.501442599164,0.688552251928,0.717364943442,+0.028812691514,167,23.42,true
2,8,8,6.2831853072,2.3561944902,0.486334768214,0.686934119263,0.717364943442,+0.030430824179,87,13.59,true
