# Composite best data per (k,D,p) — generated 2026-04-07
# Best c̃ at each depth from all sources (Mac, Azure fleet, P710 swarm, Stephen cluster)
k,D,p,ctilde,converged,source,gamma,beta
4,5,12,0.868811370051,true,origin/stephen-apr6-results/20260401T022606-k4-d5-p11-15-r2-i320-s1234,0.23480849331485432;0.3968420467583101;0.42491722483270666;0.43160846193606583;0.43870003795752166;0.43852448198651284;0.4407935444519794;0.4756747703921774;0.5101795434532944;0.5726626993592774;0.6434383042077744;0.6473465200831089,1.8603974701376813;0.22283478406059726;0.21097703565763815;0.21093450116242954;0.2152893024049612;0.20738574569734874;0.21107376356102733;0.201061175466597;0.1921684350444875;0.13351618146143313;0.08804406987313623;0.04674445225070309
4,5,13,0.810109928847,true,origin/stephen-apr6-results,0.23480849331486103;0.39684204675830725;0.424917224832708;0.43160846193606534;0.4387000379575199;0.43852448198651267;0.4407935444519778;0.47567477039217604;0.5101795434532983;0.5726626993592813;0.6434383042077763;0.6473465200831058;0.6473465200831081,1.860397470137685;0.22283478406059948;0.21097703565763518;0.21093450116242932;0.21528930240496089;0.20738574569734872;0.21107376356102633;0.20106117546659724;0.19216843504448886;0.13351618146143554;0.08804406987313601;0.04674445225070405;0.046744452250702645
4,6,1,0.650449645147,true,local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.6018124567450025,1.8047796500253757
4,6,2,0.706214179347,true,local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.4979637716391703;3.7067291909991504,1.8470446924645774;1.7431923079739313
4,6,3,0.740484176043,true,local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.4496679104735732;3.6324392891807835;3.696023250955661,1.8562350716733353;1.7946076179521782;1.715364542969331
4,6,4,0.763757896280,true,local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.4208655708829467;3.5876766316298396;3.6324379663830086;3.6901913063289666,1.8556416444000088;1.804902847056668;1.7749182114385942;1.697166305417403
4,6,5,0.780932593705,true,origin/fleet3-vm1,3.4013100815930573;3.560906373304961;3.5910876383175308;3.6280726874844085;3.686006270038854,1.8541578800016598;1.8061627497034547;1.7871720135743192;1.7624593742891945;1.683720639564942
4,6,6,0.794189581095,true,origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.3871884354880266;0.39976925957245873;0.42545185533067564;0.4451293539632573;0.4810500104893636;0.5418036092040266,1.8521178973388195;0.23381963224753058;0.2196941704676841;0.2066318521862044;0.1815909727666246;0.10238776644701279
4,6,7,0.804756460561,true,origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.3762790246602083;0.38477165762255644;0.408402617807971;0.4218568564881469;0.4384721412028556;0.4768931453195625;0.5403488128473567,1.849905831693943;0.23152796283032318;0.219178465978237;0.21245078140950988;0.19934823356740247;0.17283929365524622;0.09393039620026726
4,6,8,0.813390728582,true,origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.3675753874907555;0.3727301872157457;0.39544002761814745;0.4057807785722434;0.4148556265891832;0.4325921023785981;0.474110186563161;0.5396367791706789,1.8477236787691673;0.22894787183934726;0.21742097582373338;0.21316103160668068;0.20755831794247856;0.19314682897906907;0.1650014863182609;0.08696212762960766
4,6,9,0.820605414999,true,origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.3602437320577376;0.36218945656344265;0.38511005239303797;0.3946161997206837;0.39967736065189463;0.4083165062361459;0.4276748016014166;0.4764235779364715;0.5465012417937227,1.845270274883479;0.22596720006266593;0.21546179402088902;0.21247147963083404;0.20927833190991255;0.20266436664860188;0.18716269155931398;0.15804380240885285;0.08044101284526788
4,6,10,0.826935929132,true,local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.357316352607833;3.5005450222025867;3.5216727574303235;3.530373093810894;3.5357210516952047;3.543546728367715;3.560736303131188;3.588088304962438;3.639905334521612;3.7066171238641705,1.8453944129517836;1.7972144299799597;1.7850080444676206;1.7850264399104572;1.7832634523912196;1.782976621373166;1.7772901686020384;1.757905210536654;1.722280795941465;1.6447495906653713
4,6,11,0.835707409410,true,origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.351995878138867;0.356723194211888;0.3847613415879111;0.3918940101511457;0.39743233104557374;0.39983362840134673;0.4161284983671589;0.4471508512492588;0.5003695022230544;0.5626376718028993;0.568810859570358,1.8373013009738257;0.22677096341208447;0.2143388378987104;0.21852743451099796;0.21742536672576035;0.20955149530849956;0.20223271471740673;0.18544900030366568;0.14686757417097096;0.10008863248729032;0.041887369104224526
4,6,12,0.942914063317,true,origin/stephen-apr6-results/20260401T022525-k4-d6-p12-15-r2-i320-s1234,3.3519958781388666;0.356723194211889;0.38476134158791253;0.39189401015114556;0.3974323310455774;0.3998336284013438;0.4161284983671583;0.4471508512492588;0.5003695022230524;0.5626376718028975;0.5688108595703598;0.5688108595703569,1.837301300973825;0.22677096341208203;0.21433883789871316;0.2185274345109985;0.2174253667257584;0.20955149530849906;0.20223271471740747;0.18544900030366607;0.14686757417097196;0.10008863248729104;0.04188736910422509;0.04188736910422389
4,6,13,0.543308132257,true,origin/stephen-apr6-results,3.359772847159216;0.3784320201318338;0.38862641445199764;0.44829243009538616;0.2930979664805664;0.4058956900513297;0.3605980246099403;0.44488153361443916;0.5104232122227312;0.5564625963264765;0.5470850815764496;0.5628437295345761;0.5768936084370051,1.889233414497345;0.2808096546603548;0.2156497982853623;0.19762439717353703;0.23961224113152413;0.25949456548675903;0.2305946645995945;0.21543382873346323;0.15833621727761982;0.10480808987922657;0.03316270170342472;0.04541679090379636;0.03972993515757525
4,6,14,0.500000000000,true,origin/stephen-apr6-results,3.359772847159216;0.3784320201318338;0.38862641445199764;0.44829243009538616;0.2930979664805664;0.4058956900513297;0.3605980246099403;0.44488153361443916;0.5104232122227312;0.5564625963264765;0.5470850815764496;0.5628437295345761;0.5768936084370051;0.5768936084370051,1.889233414497345;0.2808096546603548;0.2156497982853623;0.19762439717353703;0.23961224113152413;0.25949456548675903;0.2305946645995945;0.21543382873346323;0.15833621727761982;0.10480808987922657;0.03316270170342472;0.04541679090379636;0.03972993515757525;0.03972993515757525
4,7,1,0.638570346665,true,local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.4243867839055824,0.23436715225838906
4,7,2,0.690169240157,true,local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.328349127700255;0.5173389469520254,0.27516935797907305;0.17225638938684207
4,7,3,0.722030054121,true,local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.2839347103099851;0.44901166867534054;0.5045735214853009,0.28463874576686443;0.22182295384790385;0.14406137294698101
4,7,4,0.743813356837,true,local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.2574052102105014;0.40824025973694716;0.44683446945288796;0.4977250547801515,0.28439842090207484;0.23267562191167815;0.2015494892327903;0.12559447175766966
4,7,5,0.759980131544,true,origin/stephen-apr6-results/20260331T232833-k4-d7-p1-15-r2-i320-s1234,0.2392733614206542;0.38359681108136845;0.4093728181134916;0.4419845917766013;0.4929980461307192,0.2831491354202743;0.23438809273092545;0.21467420526104483;0.1887349732303255;0.11202276833526582
4,7,6,0.772513069996,true,origin/stephen-apr6-results/20260331T232833-k4-d7-p1-15-r2-i320-s1234,0.22616606546762785;0.3656165483130195;0.3872294236298978;0.4044181308204507;0.4366628297918826;0.48997597963723616,0.28128880051287936;0.23312752579966844;0.21835827166887561;0.20478413033943108;0.17845697554997858;0.10141221467569157
4,7,7,0.782544205234,true,origin/stephen-apr6-results/20260331T232833-k4-d7-p1-15-r2-i320-s1234,0.21606586005467818;0.35182605077245455;0.3716403412318383;0.3831082664143691;0.39773899671304014;0.43271299558817705;0.4881403816721592,0.27921686834679216;0.23104678229184744;0.21821252082009882;0.2108184317213216;0.1973450537657299;0.16953659742318533;0.09288593028993106
4,7,8,0.790780908381,true,local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.2080241290552065;0.3408009608067179;0.3598146416295905;0.3684700988288453;0.37633250647386884;0.39200548238917593;0.4301432170784371;0.4871219915420523,0.27715616000638255;0.22866064760248148;0.2167076680519459;0.21201457797568943;0.20563296208928694;0.1909565641966274;0.1615405436770712;0.08583667475568015
4,7,9,0.797778943873,true,local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.20165098703744835;0.33181954046512163;0.3490445581354714;0.35698569111330725;0.36214865207934566;0.36913648276694044;0.3859956251576938;0.4302876284758775;0.4905674621511811,0.27507704114085696;0.2256166574288873;0.21391531280314247;0.21110870169568405;0.20768416937086978;0.19997425934095808;0.18432127783949964;0.15429592645290452;0.07960210008493408
4,7,10,0.805966404455,true,local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.20150549316600946;0.3314340946027671;0.3492719258844901;0.3571617455668981;0.36240794831098744;0.36898804515424855;0.38779221375894296;0.42650471930119693;0.4778078447167961;0.49307121878055804,0.2750535568109316;0.22538406951172182;0.21279119814576755;0.2107626683274327;0.20837393784426478;0.20026944859719148;0.18907988381933363;0.1642418740685238;0.1115297177999242;0.04464554092408179
4,7,11,0.856492025593,true,origin/stephen-apr6-results/20260401T022636-k4-d7-p11-15-r2-i320-s1234,0.20253993279425875;0.3291506831999505;0.3532221179578529;0.3524112007679573;0.36027018304178837;0.3726528115795801;0.38217167903944715;0.4271261688618766;0.48857464877251805;0.5034498641614873;0.5023042311920296,0.27719516752850243;0.23127227104808884;0.21179424579253367;0.20921759685969507;0.20526466739828378;0.19147492428563637;0.1913447290837141;0.166388639037896;0.10847568497783916;0.05440755117447261;0.04172623341910638
4,7,12,0.579516194874,true,origin/stephen-apr6-results,0.19260674215190104;0.3543242365120889;0.31208394685918955;0.41947915762096993;0.4443464514121596;0.3662753910378171;0.41385595905316525;0.521341140984658;0.48899979926490783;0.34158301382962675;0.5154338858534289;0.49616554249500067,0.2779962531185584;0.2484316830249741;0.21676030462880336;0.09412732443175084;0.11310286451120172;0.1722544687688424;0.2019143352491804;0.20804815980041966;0.10539611798262821;0.059838929895079836;0.018109683419861234;0.03659949140186283
4,7,13,0.500000000001,true,origin/stephen-apr6-results,0.19260674215190104;0.3543242365120889;0.31208394685918955;0.41947915762096993;0.4443464514121596;0.3662753910378171;0.41385595905316525;0.521341140984658;0.48899979926490783;0.34158301382962675;0.5154338858534289;0.49616554249500067;0.49616554249500067,0.2779962531185584;0.2484316830249741;0.21676030462880336;0.09412732443175084;0.11310286451120172;0.1722544687688424;0.2019143352491804;0.20804815980041966;0.10539611798262821;0.059838929895079836;0.018109683419861234;0.03659949140186283;0.03659949140186283
4,7,14,0.500000000000,true,origin/stephen-apr6-results,0.19260674215190104;0.3543242365120889;0.31208394685918955;0.41947915762096993;0.4443464514121596;0.3662753910378171;0.41385595905316525;0.521341140984658;0.48899979926490783;0.34158301382962675;0.5154338858534289;0.49616554249500067;0.49616554249500067;0.49616554249500067,0.2779962531185584;0.2484316830249741;0.21676030462880336;0.09412732443175084;0.11310286451120172;0.1722544687688424;0.2019143352491804;0.20804815980041966;0.10539611798262821;0.059838929895079836;0.018109683419861234;0.03659949140186283;0.03659949140186283;0.03659949140186283
4,8,1,0.629124931820,true,local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.7457815561698506,1.3361488836211115
4,8,2,0.677373882496,true,local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.835515495793571;2.661605999368192,1.2963868400070169;1.3986252232834213
4,8,3,0.707259474725,true,local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.8768777600578046;2.725227248061848;2.675422199273477,1.2867335738914543;1.3503688808546084;1.4270762024367707
4,8,4,0.727784152190,true,origin/stephen-apr6-results/20260331T232833-k4-d8-p1-15-r2-i320-s1234,2.901600746121196;2.7629278268498716;2.728771152456631;2.6828577445458532,1.2867288505481476;1.339165796425593;1.3710795075796802;1.4457264342680785
4,8,5,0.743078062960,true,local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.9185681702573842;2.7858550144091505;2.7632034370694507;2.733935381284372;2.687940889004239,1.2878103084471288;1.3371235284441374;1.3574034576781688;1.3841924128787921;1.4593867267148937
4,8,6,0.754972475143,true,origin/fleet3-vm3,0.2107471936703698;0.3390051792403591;0.35779535664736606;0.37318669598329995;0.4024347332315899;0.4503664018488938,0.2812570036839903;0.23261723811876645;0.21738243137194485;0.20335980512991111;0.17613177974884175;0.10073655664706134
4,8,7,0.764521056142,true,origin/stephen-apr6-results/20260331T232833-k4-d8-p1-15-r2-i320-s1234,2.9402963685213606;2.8154214176335652;2.7982504219407693;2.7881972977303877;2.774941645230327;2.7429318492553754;2.693302737478925,1.2915090774207336;1.3401047401486241;1.3533094061971584;1.3611800189961512;1.3749975785095323;1.4037356533143104;1.4786409500446844
4,8,8,0.772395707725,true,origin/stephen-apr6-results/20260331T232833-k4-d8-p1-15-r2-i320-s1234,2.947646759849555;2.8255295039507584;2.8093993554790373;2.802018537501943;2.7949630740488014;2.780331201476637;2.745231522372918;2.694513322400724,1.2933322362714215;1.3424304962389748;1.35482468829825;1.3598493291184512;1.3666724102660939;1.3815241351322598;1.4118929011755392;1.485794424638456
4,8,9,0.779383870175,true,local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.953453460218815;2.830473509914472;2.8139439999585703;2.8079088935183405;2.8031634038521416;2.792976750687144;2.7741656217169526;2.732718459378725;2.6801229720581707,1.293652068361561;1.3420319594471082;1.3527667407635975;1.358582354756296;1.36077817598753;1.3677735102807607;1.3840329975105603;1.4189202478241143;1.4929539290259937
4,8,10,0.799629008532,true,local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.9537411249708883;2.8341974574453723;2.815674367360487;2.80637431373478;2.80423594597277;2.7965660425466154;2.7734079330466184;2.733977953145097;2.6858253957695184;2.6791154442674547,1.2938893700253946;1.346470164140516;1.350885308858014;1.3566782545743068;1.363968492576278;1.370053291982161;1.3833544127887234;1.419688579888919;1.4631200440323062;1.525240132787604
4,8,11,0.818175680263,false,origin/stephen-apr6-results,2.955028502397141;2.8338830974664235;2.8163162594636737;2.8086245654294952;2.799510172148851;2.798790225759098;2.777565800226772;2.7399716945826325;2.6915112955065292;2.6879026930893857;2.6879026930893857,1.2946454282735298;1.3327435707306876;1.3593213825795296;1.3651730255722636;1.3673031318407978;1.3754228423298038;1.3892050790242918;1.4201315559369616;1.4614593488413257;1.5233098133402683;1.5233098133402683
4,8,12,0.500000000027,true,origin/stephen-apr6-results/20260331T232833-k4-d8-p1-15-r2-i320-s1234,5.557182026954813;4.145817043962971;0.7922248530748632;5.162735698721718;1.350674258995447;3.5607440772796366;4.717349201931498;3.646798479246435;0.3360542431741038;2.797779841941768;1.4270191238115615;0.49067668087150196,0.5258666134342889;1.717287258899372;0.9212136944245302;2.782402106152098;0.3807640788736073;1.0693284242131647;3.0480178359385484;2.5180896708620857;2.7384340977358868;0.7961932506714433;0.9088457001188743;2.1814693398214153
4,8,13,0.500000000000,true,origin/stephen-apr6-results,2.9515336418588065;2.8452661455920794;2.832490563770906;2.8033602871408205;2.8017074361302106;2.8333666159102187;2.776650273567872;2.747158578854997;2.6809522213738832;2.689207318578318;2.696417091017155;2.686834578654002;2.686834578654002,1.2685739147722181;1.350490675145187;1.38153394674642;1.3413946725506654;1.3655162492401518;1.3649800419411793;1.3902685952984102;1.4193097641348884;1.4603317770136819;1.5269055706721089;1.5248516864186201;1.523603697766167;1.523603697766167
4,8,14,0.500000000000,true,origin/stephen-apr6-results,2.9515336418588065;2.8452661455920794;2.832490563770906;2.8033602871408205;2.8017074361302106;2.8333666159102187;2.776650273567872;2.747158578854997;2.6809522213738832;2.689207318578318;2.696417091017155;2.686834578654002;2.686834578654002;2.686834578654002,1.2685739147722181;1.350490675145187;1.38153394674642;1.3413946725506654;1.3655162492401518;1.3649800419411793;1.3902685952984102;1.4193097641348884;1.4603317770136819;1.5269055706721089;1.5248516864186201;1.523603697766167;1.523603697766167;1.523603697766167
5,6,1,0.658625024633,true,local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.47516883211514493,0.1996306687576617
5,6,2,0.717596564136,true,local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.373557015355491;0.5683343090261261,0.22820030805549218;0.1485224570581864
5,6,3,0.753676130935,true,origin/fleet5-vm0-final,0.3261509283441488;2.643685507182205;3.6951937359739673,1.3392005261921685;1.382937629780114;1.444730339463213
5,6,4,0.778129588987,true,origin/stephen-apr6-results/20260331T232833-k5-d6-p1-15-r2-i320-s1234,0.29837752201714646;0.45501634640612154;0.49251589176263355;0.5443526304496027,0.22861346965474097;0.19259283765828145;0.17430650662918906;0.11126126480542574
5,6,5,0.796091882450,true,origin/stephen-apr6-results/20260331T232833-k5-d6-p1-15-r2-i320-s1234,0.2796145275258113;0.42981369187708146;0.45345989245628376;0.48373226030451166;0.5373415371833183,0.22555584924766053;0.19135913422352968;0.18109863534943219;0.16572418184245566;0.1002339664280417
5,6,6,0.809911709556,true,origin/stephen-apr6-results/20260331T232833-k5-d6-p1-15-r2-i320-s1234,0.26622635722827537;0.411659565324719;0.4309463282154493;0.4450144095846545;0.47482604773973147;0.5325257461357037,0.22263507163121485;0.18845208661799684;0.1817529895320825;0.17500012295022288;0.15861354730829172;0.09143416149894305
5,6,7,0.820886055158,true,local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.2559776893355693;0.39770070192817936;0.4151250523346062;0.42305178497973384;0.4352727489786707;0.46795529179098866;0.5294477277262897,0.21987802706022658;0.18539582224080314;0.17981270417467113;0.17780041834047028;0.17049868570831536;0.15220260109218953;0.08424241730401945
5,6,8,0.829836717988,true,local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.2483241028830261;0.3872657324401757;0.4032597562693183;0.4077937339721479;0.4123071589326727;0.4267694892982938;0.46312500269863643;0.5280769964913627,0.21766081391770595;0.18261972453040942;0.1772346022107808;0.17671088352265113;0.17517955336316626;0.16657287920765326;0.14626236894210795;0.07824393522801408
5,6,9,0.837659435700,true,local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.24084753554277294;0.3771482077148251;0.3947701246875606;0.39846559681593313;0.40052258427865883;0.4061848461839964;0.4217220007907215;0.4664113819162131;0.5400908339064953,0.21495289901163422;0.1801731806743488;0.17516518458465455;0.17617370189211412;0.17557691575312934;0.17343290870501274;0.16219074708477113;0.14055912983233707;0.07147375964750284
5,6,10,0.852930032871,true,origin/stephen-apr6-results/20260331T232833-k5-d6-p1-15-r2-i320-s1234,0.24741847542166612;0.3839466991741384;0.3991526546704809;0.4065253228207981;0.4071010494996952;0.4219133186842577;0.4468495649247365;0.49350488105057244;0.541310118751114;0.5418140276588999,0.22056374701891718;0.1811004624322123;0.17488120992782277;0.17820873104956292;0.18133134132411818;0.1760977375865504;0.16894700926166714;0.1337817265756675;0.08991296156527757;0.04099106722359987
5,6,11,0.784897456207,true,origin/fleet3-vm4,0.24096582955107926;0.37979466110396887;0.3974950945728711;0.3991884024058802;0.40105918771436383;0.40562161796665225;0.41809717670530444;0.4658053509742718;0.5342189191128699;0.5411419093316996;0.5406654219277071,0.22013034157600242;0.18538202552130936;0.17980862132888695;0.1764318145188431;0.17387533994884619;0.1729865930443121;0.16414384554687958;0.1353243968844811;0.09730470244031218;0.04679706131016982;0.04332627872360365
5,6,12,0.500000061626,true,origin/stephen-apr6-results,3.340538744810391;0.043684900175061436;0.24115455099117264;0.4932518404165283;0.8038244072762505;5.775122208280313;0.10409243179672997;2.345734433734277;3.9619589536945825;3.142726181474503;1.8201091406410852;1.8201091406410852,1.8689893485605917;2.0915557314313764;2.8750544008906687;1.2744488079976641;1.2372788040400597;1.113100566032128;1.1664849482790416;2.7346732838608196;2.2152782656518455;2.5895253431788783;0.05722420883733813;0.05722420883733813
5,6,13,0.500000000000,true,origin/stephen-apr6-results,3.340538744810391;0.043684900175061436;0.24115455099117264;0.4932518404165283;0.8038244072762505;5.775122208280313;0.10409243179672997;2.345734433734277;3.9619589536945825;3.142726181474503;1.8201091406410852;1.8201091406410852;1.8201091406410852,1.8689893485605917;2.0915557314313764;2.8750544008906687;1.2744488079976641;1.2372788040400597;1.113100566032128;1.1664849482790416;2.7346732838608196;2.2152782656518455;2.5895253431788783;0.05722420883733813;0.05722420883733813;0.05722420883733813
5,6,14,0.500000000000,true,origin/stephen-apr6-results,3.340538744810391;0.043684900175061436;0.24115455099117264;0.4932518404165283;0.8038244072762505;5.775122208280313;0.10409243179672997;2.345734433734277;3.9619589536945825;3.142726181474503;1.8201091406410852;1.8201091406410852;1.8201091406410852;1.8201091406410852,1.8689893485605917;2.0915557314313764;2.8750544008906687;1.2744488079976641;1.2372788040400597;1.113100566032128;1.1664849482790416;2.7346732838608196;2.2152782656518455;2.5895253431788783;0.05722420883733813;0.05722420883733813;0.05722420883733813;0.05722420883733813
5,6,15,0.500000000000,true,origin/stephen-apr6-results,3.340538744810391;0.043684900175061436;0.24115455099117264;0.4932518404165283;0.8038244072762505;5.775122208280313;0.10409243179672997;2.345734433734277;3.9619589536945825;3.142726181474503;1.8201091406410852;1.8201091406410852;1.8201091406410852;1.8201091406410852;1.8201091406410852,1.8689893485605917;2.0915557314313764;2.8750544008906687;1.2744488079976641;1.2372788040400597;1.113100566032128;1.1664849482790416;2.7346732838608196;2.2152782656518455;2.5895253431788783;0.05722420883733813;0.05722420883733813;0.05722420883733813;0.05722420883733813;0.05722420883733813
5,7,1,0.646186354604,true,local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.43825481579232495,0.20008475043612303
5,7,2,0.700817902678,true,origin/p710-results/swarm-k5d7,5.938941411098752;3.6616255073232993,1.798318109075491;2.993041810629725
5,7,3,0.734428791034,true,origin/p710-results/swarm-k5d7,3.442252811795284;3.5969081087001915;0.5033653405936873,0.23119076694405316;2.955181869164585;1.4450461132940866
5,7,4,0.757393337275,true,origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.27508485366050056;0.416283741189956;0.4481190223937888;0.49332113416085077,0.22851683349202737;0.19169072538410006;0.17233217907032367;0.1106939587236407
5,7,5,0.774382304123,true,origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.2576805107538953;0.3930686276395132;0.41274214886219407;0.43930507842585714;0.4861140491258072,0.22565489674619665;0.19082808292697373;0.17995297822404127;0.1634555530991473;0.09953148440638067
5,7,6,0.787526193237,true,local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.24524545134994621;0.37636435296942655;0.3919919568410689;0.4039932183055537;0.4308624198718396;0.48113312927521845,0.2228757920475675;0.18815544864995543;0.18089014476341828;0.17372881715404012;0.1561802857158022;0.09066144500230534
5,7,7,0.798026144159,true,origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.23573840945759456;0.363507674773723;0.3775068031102688;0.3839848232651685;0.39447840631110037;0.4244228910569029;0.4778262392582581,0.22022243351489312;0.1852510482933766;0.17926488729128165;0.17672171568846518;0.16909578315042625;0.14963811625980988;0.08342097360587841
5,7,8,0.806705267105,true,local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.22872782613343892;0.3519838319828968;0.36612995545241966;0.3703980508915778;0.372961506956193;0.38473500973394065;0.4211138558854962;0.4767111933058696,0.2176412695694909;0.18200773269806367;0.17670378532916892;0.17563338122787445;0.17306304833739714;0.1648967378238543;0.14376217405463235;0.0775029139401717
5,7,9,0.814970005934,true,origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.22454928838983843;0.3500965720714779;0.3649114374274515;0.37033806005760445;0.3715297024375619;0.38214010806139737;0.4076900303993447;0.45405700657778875;0.4984448290586068,0.2188933189183256;0.18210247879833752;0.1789237704006955;0.1785748851632998;0.1790843707101905;0.17727202763677974;0.16463781294561583;0.12952099150972995;0.05958724299539214
5,7,10,0.882955281825,true,local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.22824013540090726;0.351528302573531;0.3659762042056401;0.3702166714545004;0.3732685933452821;0.38511106756140817;0.42304960900287886;0.47079040137313377;0.47826694357606164;0.4783091401867665,0.21837552095824242;0.18112399686874273;0.17522718859306366;0.17625882101927376;0.17234366876580395;0.16446151485712024;0.13959390883493605;0.10891188666014251;0.04617475261658817;0.04607269569767407
5,7,11,0.564380356576,true,origin/stephen-apr6-results,0.22332149547638774;0.3505910165661923;0.36504161197639545;0.3694654937657717;0.37013829136617143;0.3836764564807027;0.4080849982154403;0.4543885321602596;0.49780061333510434;0.4976417756365363;0.4990370894208261,0.2123515963907999;0.18353468858614175;0.17943269081037075;0.17886574903650843;0.17834881479974984;0.17666677477616394;0.1646612920437462;0.12957056548224183;0.05933397429455501;0.05997158940914893;0.059947500551078864
5,7,12,0.500000000000,true,origin/stephen-apr6-results,0.22332149547638774;0.3505910165661923;0.36504161197639545;0.3694654937657717;0.37013829136617143;0.3836764564807027;0.4080849982154403;0.4543885321602596;0.49780061333510434;0.4976417756365363;0.4990370894208261;0.4990370894208261,0.2123515963907999;0.18353468858614175;0.17943269081037075;0.17886574903650843;0.17834881479974984;0.17666677477616394;0.1646612920437462;0.12957056548224183;0.05933397429455501;0.05997158940914893;0.059947500551078864;0.059947500551078864
5,7,13,0.500000000000,true,origin/stephen-apr6-results,0.22332149547638774;0.3505910165661923;0.36504161197639545;0.3694654937657717;0.37013829136617143;0.3836764564807027;0.4080849982154403;0.4543885321602596;0.49780061333510434;0.4976417756365363;0.4990370894208261;0.4990370894208261;0.4990370894208261,0.2123515963907999;0.18353468858614175;0.17943269081037075;0.17886574903650843;0.17834881479974984;0.17666677477616394;0.1646612920437462;0.12957056548224183;0.05933397429455501;0.05997158940914893;0.059947500551078864;0.059947500551078864;0.059947500551078864
5,7,14,0.500000000000,true,origin/stephen-apr6-results,0.22332149547638774;0.3505910165661923;0.36504161197639545;0.3694654937657717;0.37013829136617143;0.3836764564807027;0.4080849982154403;0.4543885321602596;0.49780061333510434;0.4976417756365363;0.4990370894208261;0.4990370894208261;0.4990370894208261;0.4990370894208261,0.2123515963907999;0.18353468858614175;0.17943269081037075;0.17886574903650843;0.17834881479974984;0.17666677477616394;0.1646612920437462;0.12957056548224183;0.05933397429455501;0.05997158940914893;0.059947500551078864;0.059947500551078864;0.059947500551078864;0.059947500551078864
5,8,1,0.636280516324,true,local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.550393879368669,0.20041636820674302
5,8,2,0.687409029390,true,origin/p710-results/swarm-k5d8,5.96225258865148;0.48232773442840327,1.7978450754086406;0.14858443856760128
5,8,3,0.718981135459,true,origin/p710-results/swarm-k5d8,0.2803521536652686;0.4221070174788741;5.818437187380373,0.23089996470208313;1.7561925452880196;1.6963357601178508
5,8,4,0.740669009249,true,origin/stephen-apr6-results/20260331T232833-k5-d8-p1-15-r2-i320-s1234,2.885069796941789;3.5276329394487997;3.55543833125153;3.5958875752467163,1.7992372147155804;0.19102703063444756;0.17091484013305042;0.11030598605020422
5,8,5,0.756793864602,true,local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.3818220122456526;3.5060234124707716;3.5229387909035923;3.546646915903104;3.5885692083459815,0.22571893106573504;0.1904383460045307;0.17907895430383228;0.16177974843216406;0.09904632542040137
5,8,6,0.769319380985,true,origin/stephen-apr6-results/20260331T232833-k5-d8-p1-15-r2-i320-s1234,2.913022906697888;3.4904710494142703;3.503620181260453;3.5141801305213964;3.5385964066431197;3.5835201021742025,1.7938392723713275;0.18793205325240142;0.18025679881816814;0.17274265439174905;0.15434423114957882;0.090115216670507
