# Q1.5 Tier 2 reverse: induced (λ̄, s̄) — 2026-04-29T20:14:30.809
D,p,ctilde_warm,n_lambda_descent,n_s_sign_flip,s_amplitude,s_mean,tau_seq,lambdabar_seq,sbar_seq
6,5,0.729153049443,0,0,2.579624e-01,-1.721334e-01,3.9815687089;4.0485599667;3.9970084415;3.9639970310;3.8908517896,0.8469919880;0.8808261542;0.9015565873;0.9245055815;0.9601077855,-2.5796241715e-01;-2.1249026776e-01;-1.7737108100e-01;-1.3833278218e-01;-7.4510208224e-02
6,6,0.738582023073,0,0,2.608765e-01,-1.704851e-01,3.9745780636;4.0417223875;3.9977559430;3.9736740554;3.9416393615;3.8774052036,0.8445418280;0.8764057471;0.8939061075;0.9094422845;0.9321642516;0.9650891466,-2.6087645566e-01;-2.1889582864e-01;-1.8956887648e-01;-1.6362939094e-01;-1.2462212002e-01;-6.5317822986e-02
6,7,0.745985660468,0,0,2.632514e-01,-1.693557e-01,3.9694564541;4.0346335254;3.9956765530;3.9792555870;3.9488349045;3.9245228210;3.8682039818,0.8425536488;0.8733766419;0.8888491410;0.9006545184;0.9165337334;0.9380236856;0.9687089976,-2.6325137904e-01;-2.2309359942e-01;-1.9737852139e-01;-1.7802340380e-01;-1.5104165764e-01;-1.1407580037e-01;-5.8625228696e-02
6,8,0.751927747697,0,0,2.650661e-01,-1.683919e-01,3.9649338271;4.0274945610;3.9918064457;3.9829882574;3.9551468416;3.9285382747;3.9113709994;3.8610274137,0.8409929971;0.8711945753;0.8853765598;0.8945078899;0.9072988638;0.9221525782;0.9429708858;0.9716851508,-2.6506613587e-01;-2.2597061031e-01;-2.0255349906e-01;-1.8792405551e-01;-1.6632854473e-01;-1.4100884025e-01;-1.0516976700e-01;-5.3113492446e-02
6,9,0.756767462179,0,0,2.662343e-01,-1.677412e-01,3.9598836187;4.0192711013;3.9870204030;3.9826857287;3.9614010822;3.9354669792;3.9115379881;3.8999799959;3.8543595112,0.8398759302;0.8696305119;0.8828876572;0.8902949829;0.9002362098;0.9122810071;0.9268991073;0.9468524548;0.9739018574,-2.6623426510e-01;-2.2783778478e-01;-2.0612253620e-01;-1.9449382480e-01;-1.7788827119e-01;-1.5746618624e-01;-1.3251680664e-01;-9.8128423876e-02;-4.8982283185e-02
6,10,0.760777479845,0,0,2.674448e-01,-1.674252e-01,3.9562427257;4.0128531253;3.9819640176;3.9821643671;3.9634768303;3.9449793035;3.9192244688;3.8978446528;3.8908670498;3.8485442552,0.8387917799;0.8683043325;0.8810615480;0.8871956778;0.8954706140;0.9042488643;0.9166838368;0.9307678554;0.9500150564;0.9757377733,-2.6744481494e-01;-2.2943753252e-01;-2.0863867415e-01;-1.9926628417e-01;-1.8549632976e-01;-1.7078345447e-01;-1.4966410073e-01;-1.2558620368e-01;-9.2381061710e-02;-4.5553537424e-02
6,11,0.764144755966,0,0,2.681102e-01,-1.670168e-01,3.9520346057;4.0052060340;3.9766866115;3.9791713121;3.9637580628;3.9481060746;3.9292167340;3.9052301681;3.8859100283;3.8825102250;3.8431489811,0.8380815471;0.8674426360;0.8797070006;0.8851577387;0.8921586853;0.8991160335;0.9081673635;0.9204436295;0.9341712427;0.9527267202;0.9772811908,-2.6811017563e-01;-2.3026993560e-01;-2.1041115814e-01;-2.0224816421e-01;-1.9067941307e-01;-1.7905896183e-01;-1.6384682458e-01;-1.4298399344e-01;-1.1948216995e-01;-8.7430609205e-02;-4.2663259226e-02
6,12,0.767008516373,0,0,2.688643e-01,-1.667674e-01,3.9488405840;3.9995976126;3.9719481773;3.9767748009;3.9627002249;3.9505793762;3.9335365994;3.9163351574;3.8935402309;3.8760783978;3.8757844484;3.8388241489,0.8373534901;0.8665986139;0.8786555586;0.8834982277;0.8898430043;0.8953989226;0.9027141030;0.9114183657;0.9237844282;0.9370744293;0.9550363140;0.9786227660,-2.6886432580e-01;-2.3118646096e-01;-2.1174401256e-01;-2.0466275341e-01;-1.9421650943e-01;-1.8500480939e-01;-1.7272397081e-01;-1.5809219244e-01;-1.3706531900e-01;-1.1427783317e-01;-8.3216257260e-02;-4.0153794586e-02
7,1,0.619009221822,0,0,9.373628e-01,-9.373628e-01,8.6444821956,0.6820059880,-9.3736284816e-01
7,2,0.658923602941,1,0,9.565470e-01,-9.347029e-01,8.6121890976;8.6184910574,0.6949451024;0.6674056561,-9.1285882855e-01;-9.5654703776e-01
