timestamp_utc,k,D,p,start_index,evaluations,iterations,elapsed_seconds,value,gradient_norm,plateau_value_range,plateau_gradient_max,reason,gamma,beta
2026-05-29T07:26:29Z,2,8,14,1,35,0,6528.434224,0.735334818998,9.516208e-04,Inf,Inf,best_seen,0.13422165034402284;0.2650689458872108;0.2830653644138062;0.30147297491325786;0.30945288892627515;0.31598048013358104;0.32290004084896645;0.33215259756341653;0.3457889806546114;0.36496497875568296;0.38765908239436586;0.42880772067761086;0.4835806400821406;0.5238372839767168,2.213864128672554;2.1024099812455335;2.049993711861112;2.032541809367975;2.006737665932845;1.9865082954128732;1.9612239475424438;1.9345273723543897;1.9026648998071405;1.8644989791361195;1.8202136970603628;1.7743772706243373;1.7113443090388198;1.6381729759833088
2026-05-29T07:32:33Z,2,8,14,1,37,0,6892.613361,0.735335151900,1.021546e-03,Inf,Inf,best_seen,0.13399415619946145;0.26469439169370085;0.28276292500650285;0.301456197909018;0.309444156445083;0.315941663083127;0.3229979558970829;0.3321091658804502;0.34587087289779384;0.36501204010266974;0.38760247088348887;0.428722310312428;0.4831146095179918;0.52314453777158,2.2138161797719826;2.1026378599069644;2.050045820615605;2.0326808222635844;2.006669597984223;1.986658489694914;1.9615296527732036;1.9347365349119958;1.9027387778268425;1.8644991950476033;1.820329431108032;1.774493001269685;1.711554131755498;1.6383739572937754
2026-05-29T07:35:39Z,2,8,14,1,38,0,7078.664547,0.735336882665,7.253546e-04,Inf,Inf,best_seen,0.13378985614771147;0.2644110846014949;0.2826367681472743;0.3013803299509599;0.30939194747550863;0.315884406855743;0.32314260065595335;0.33237168939396633;0.3459009355375684;0.36468860387510416;0.38764805569481836;0.42822880189577806;0.48245649301299576;0.5220292480359304,2.2138160517102285;2.1025975475114858;2.0502895748853898;2.0327098335556815;2.006879247296418;1.9868437637382794;1.9619120407147475;1.935004227342959;1.903246394259335;1.8646996252512762;1.8205901912237694;1.7745391742039383;1.712197085904753;1.6386862144654273
2026-05-29T07:41:51Z,2,8,14,1,40,0,7450.803592,0.735337253636,8.705616e-04,Inf,Inf,best_seen,0.13364301938706497;0.26420746303933;0.2825460953139402;0.3013258013049675;0.3093544232756696;0.3158432550357415;0.32324656131408874;0.33256037315585507;0.3459225424857956;0.3644561402632516;0.38768081890742145;0.42787410214591526;0.48198348434317967;0.5212276548372881,2.2138159596682887;2.102568573747088;2.0504647686117856;2.0327306848678433;2.007029928735854;1.986976925918742;1.962186874745212;1.935196626165551;1.9036112338761617;1.8648436806325204;1.8207776075771807;1.7745723601186612;1.712659196920938;1.63891064334433
2026-05-29T07:44:58Z,2,8,14,1,41,0,7637.474420,0.735338674518,5.725970e-04,Inf,Inf,best_seen,0.13360862016581368;0.26416681242469936;0.28268595359036514;0.3013462314075149;0.3093217491388603;0.31604787443618965;0.3234083504999011;0.3327735652938615;0.34619909023959;0.36453479945101874;0.3876976220619685;0.4274031850751505;0.4815258549739607;0.520185485928415,2.213734188265786;2.1022744775253024;2.0506692637786834;2.032645817528363;2.0072910447272903;1.9870389052027617;1.962575637139361;1.9354776311172897;1.9036237594293028;1.8651170724970394;1.821057396456344;1.7747341238547156;1.7128183200763374;1.6391701132548786
2026-05-29T07:51:08Z,2,8,14,1,43,0,8008.314665,0.735339117110,8.291847e-04,Inf,Inf,best_seen,0.13357617472834563;0.26412847065627965;0.28281786829067146;0.3013655011348678;0.30929093080565084;0.3162408720018464;0.32356095049258504;0.3329746486885068;0.34645993082046;0.3646089910072561;0.3877134708422691;0.4269590148347687;0.4810942177292084;0.5192025094267968,2.2136570612602884;2.1019970851824987;2.0508621441669233;2.0325657704268285;2.0075373300286397;1.9870973642291825;1.9629423188690767;1.9357426757391791;1.9036355735645192;1.865374936434706;1.8213212940753287;1.7748866998431196;1.712968405462007;1.6394148459683329
2026-05-29T07:54:14Z,2,8,14,1,44,0,8194.100656,0.735340280901,4.107486e-04,Inf,Inf,best_seen,0.1339022041486291;0.2641249607500586;0.2829073930087125;0.30160619598121935;0.30947435308361715;0.31647103107269664;0.32370648297430615;0.3336059044251568;0.3465772280462559;0.3649977744178383;0.38808727433148443;0.42697124786221224;0.4808456298533778;0.5180867455715465,2.21329119419411;2.1016812235614006;2.050975300784232;2.03235352325493;2.007704200802837;1.9873700081689445;1.963056324659884;1.9360518413775603;1.903505869959889;1.8653764300962492;1.821092281554222;1.7747535897545816;1.7125956118004253;1.6392034955037522
2026-05-29T08:00:18Z,2,8,14,1,46,0,8557.679979,0.735340348770,5.249748e-04,Inf,Inf,best_seen,0.13400252077091934;0.2641238807802315;0.2829349390421887;0.3016802558435706;0.30953079063873823;0.31654184916192635;0.32375126214480887;0.3338001367224967;0.3466133194563061;0.3651173999366586;0.38820229064935474;0.42697501186606335;0.480769141369535;0.5177434340350142,2.2131786198495793;2.101584035488888;2.0510101181624565;2.032288216512499;2.007755545593782;1.98745389850958;1.9630914033219427;1.9361469691502122;1.9034659612071634;1.8653768896838554;1.8210218162490983;1.7747126328542402;1.7124809061983708;1.639138464670928
2026-05-29T08:03:25Z,2,8,14,1,47,0,8745.133557,0.735340790117,2.836056e-04,Inf,Inf,best_seen,0.13414719214098408;0.2642868417189519;0.283010660311287;0.3017454865955148;0.3095215201866548;0.31682786886051006;0.3238529444327955;0.3339234909317856;0.34671515330733177;0.36521497923786966;0.3882512401568037;0.42708599346872456;0.4805072193431298;0.5172888003070465,2.2128780418757876;2.1014349646679964;2.050957347898078;2.0323854863307935;2.0077539395936492;1.9875825044221656;1.9632245033808615;1.9363393950995158;1.903507753984912;1.865530322933108;1.8208101879191987;1.7745063954850273;1.7124280105585539;1.6389438875826836
2026-05-29T08:09:31Z,2,8,14,1,49,0,9110.570746,0.735340798003,3.307335e-04,Inf,Inf,best_seen,0.134169265451479;0.2643117055700187;0.28302221352380674;0.3017554392118537;0.3095201057425449;0.3168715084666856;0.32386845866144737;0.333942311765246;0.34673069066079415;0.365229867451153;0.3882587086536874;0.4271029265452114;0.4804672564519806;0.5172194343265183,2.2128321810331033;2.101412220108974;2.0509492964471927;2.0324003273245577;2.007753694557333;1.987602126537023;1.963244811192463;1.9363687545900934;1.9035141305399916;1.8655537330919354;1.8207778986152865;1.7744749287097819;1.7124199399784454;1.6389141998809489
2026-05-29T08:12:35Z,2,8,14,1,50,0,9294.673344,0.735340995325,2.345919e-04,Inf,Inf,best_seen,0.13425581216322632;0.2643988153572814;0.28302654328311677;0.30176272881836036;0.30957168626520454;0.31683818340506564;0.3239791951180653;0.3339051808111799;0.3468050770263925;0.36525770974391203;0.3882336631093235;0.4270560019238889;0.4802913323674562;0.5170858656741891,2.2126926742915867;2.1013565868621855;2.0509105459358477;2.032452116342189;2.00780531371086;1.9877353378425173;1.963309627902878;1.9364403866097661;1.9036326389057057;1.8655751063791588;1.820803812422583;1.7743624232455364;1.7123328791190018;1.6388981814474373
2026-05-29T08:18:45Z,2,8,14,1,52,0,9664.947996,0.735341086866,2.583122e-04,Inf,Inf,best_seen,0.1343670700741568;0.264510797115534;0.2830321092944179;0.3017720997854955;0.309637994286387;0.3167953432247444;0.3241215495366031;0.3338574480632009;0.34690070251546185;0.36529350169100444;0.38820146645057374;0.426995679177546;0.48006517766173284;0.516914159910632,2.2125133349694046;2.101285068965191;2.0508607312074463;2.0325186923887473;2.0078716713929654;1.9879065842279942;1.9633929513665729;1.9365324713199024;1.9037849843031327;1.865602582261699;1.8208371252545306;1.7742177947245046;1.7122209602586551;1.6388775893600789
