# Composite best c̃ per (k,D,p) — F64 (below precision wall) + D64
# Generated 2026-04-15 10:10
k,D,p,ctilde,source,gamma,beta
4,7,9,0.797778943873,f64/local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.20165098703744835;0.33181954046512163;0.3490445581354714;0.35698569111330725;0.36214865207934566;0.36913648276694044;0.3859956251576938;0.4302876284758775;0.4905674621511811,0.27507704114085696;0.2256166574288873;0.21391531280314247;0.21110870169568405;0.20768416937086978;0.19997425934095808;0.18432127783949964;0.15429592645290452;0.07960210008493408
4,7,10,0.805966404455,f64/local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.20150549316600946;0.3314340946027671;0.3492719258844901;0.3571617455668981;0.36240794831098744;0.36898804515424855;0.38779221375894296;0.42650471930119693;0.4778078447167961;0.49307121878055804,0.2750535568109316;0.22538406951172182;0.21279119814576755;0.2107626683274327;0.20837393784426478;0.20026944859719148;0.18907988381933363;0.1642418740685238;0.1115297177999242;0.04464554092408179
4,8,1,0.629124931820,f64/local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.7457815561698506,1.3361488836211115
4,8,2,0.677373882496,f64/local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.835515495793571;2.661605999368192,1.2963868400070169;1.3986252232834213
4,8,3,0.707259474725,f64/local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.8768777600578046;2.725227248061848;2.675422199273477,1.2867335738914543;1.3503688808546084;1.4270762024367707
4,8,4,0.727784152190,f64/origin/stephen-apr6-results/20260331T232833-k4-d8-p1-15-r2-i320-s1234,2.901600746121196;2.7629278268498716;2.728771152456631;2.6828577445458532,1.2867288505481476;1.339165796425593;1.3710795075796802;1.4457264342680785
4,8,5,0.743078062960,f64/local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.9185681702573842;2.7858550144091505;2.7632034370694507;2.733935381284372;2.687940889004239,1.2878103084471288;1.3371235284441374;1.3574034576781688;1.3841924128787921;1.4593867267148937
4,8,6,0.754972479611,d64/swarm-d64-k4d8.csv,3.3523400380466515;0.3390054505745655;3.499388052719709;3.5147799122335437;3.544027514590966;3.5919590649150885,1.8520535949311476;1.803413674488837;1.7881789713981489;0.2033601450828084;0.17613187034075503;0.10073666683186543
4,8,7,0.764521056142,f64/origin/stephen-apr6-results/20260331T232833-k4-d8-p1-15-r2-i320-s1234,2.9402963685213606;2.8154214176335652;2.7982504219407693;2.7881972977303877;2.774941645230327;2.7429318492553754;2.693302737478925,1.2915090774207336;1.3401047401486241;1.3533094061971584;1.3611800189961512;1.3749975785095323;1.4037356533143104;1.4786409500446844
4,8,8,0.772395707725,f64/origin/stephen-apr6-results/20260331T232833-k4-d8-p1-15-r2-i320-s1234,2.947646759849555;2.8255295039507584;2.8093993554790373;2.802018537501943;2.7949630740488014;2.780331201476637;2.745231522372918;2.694513322400724,1.2933322362714215;1.3424304962389748;1.35482468829825;1.3598493291184512;1.3666724102660939;1.3815241351322598;1.4118929011755392;1.485794424638456
4,8,9,0.779383870175,f64/local/20260401T010533-k4-d8-p1-11-r2-i320-s1234,2.953453460218815;2.830473509914472;2.8139439999585703;2.8079088935183405;2.8031634038521416;2.792976750687144;2.7741656217169526;2.732718459378725;2.6801229720581707,1.293652068361561;1.3420319594471082;1.3527667407635975;1.358582354756296;1.36077817598753;1.3677735102807607;1.3840329975105603;1.4189202478241143;1.4929539290259937
4,8,10,0.784564992229,d64/swarm-d64-k4d8.csv,3.324081025147755;0.3002184948209276;3.4578801730574593;3.4634132618291242;3.4653865153475247;3.469037243064381;3.477774283965299;3.495420393389169;3.5360124381100753;3.5878004815483613,1.8443231906147106;1.7945548092237744;1.7828891415689778;0.20926557147596644;0.20757890742221768;0.20399424354686313;0.1955489281692218;0.17759212004751265;0.14475781670777566;0.07386745533393294
5,6,1,0.658625024633,f64/local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.47516883211514493,0.1996306687576617
5,6,2,0.717596564136,f64/local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.373557015355491;0.5683343090261261,0.22820030805549218;0.1485224570581864
5,6,3,0.753676130935,f64/origin/fleet5-vm0-final,0.3261509283441488;2.643685507182205;3.6951937359739673,1.3392005261921685;1.382937629780114;1.444730339463213
5,6,4,0.778129589000,d64/swarm-d64-k5d6.csv,5.984807785169979;2.686576307215944;0.49251589174563815;0.5443526304435771,0.22861346964963988;1.7633891644449895;0.17430650663203096;0.1112612648095106
5,6,5,0.796091882450,f64/origin/stephen-apr6-results/20260331T232833-k5-d6-p1-15-r2-i320-s1234,0.2796145275258113;0.42981369187708146;0.45345989245628376;0.48373226030451166;0.5373415371833183,0.22555584924766053;0.19135913422352968;0.18109863534943219;0.16572418184245566;0.1002339664280417
5,6,6,0.809911709556,f64/origin/stephen-apr6-results/20260331T232833-k5-d6-p1-15-r2-i320-s1234,0.26622635722827537;0.411659565324719;0.4309463282154493;0.4450144095846545;0.47482604773973147;0.5325257461357037,0.22263507163121485;0.18845208661799684;0.1817529895320825;0.17500012295022288;0.15861354730829172;0.09143416149894305
5,6,7,0.820886055158,f64/local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.2559776893355693;0.39770070192817936;0.4151250523346062;0.42305178497973384;0.4352727489786707;0.46795529179098866;0.5294477277262897,0.21987802706022658;0.18539582224080314;0.17981270417467113;0.17780041834047028;0.17049868570831536;0.15220260109218953;0.08424241730401945
5,6,8,0.829836717988,f64/local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.2483241028830261;0.3872657324401757;0.4032597562693183;0.4077937339721479;0.4123071589326727;0.4267694892982938;0.46312500269863643;0.5280769964913627,0.21766081391770595;0.18261972453040942;0.1772346022107808;0.17671088352265113;0.17517955336316626;0.16657287920765326;0.14626236894210795;0.07824393522801408
5,6,9,0.837659435700,f64/local/20260401T061933-k5-d6-p1-11-r2-i320-s1234,0.24084753554277294;0.3771482077148251;0.3947701246875606;0.39846559681593313;0.40052258427865883;0.4061848461839964;0.4217220007907215;0.4664113819162131;0.5400908339064953,0.21495289901163422;0.1801731806743488;0.17516518458465455;0.17617370189211412;0.17557691575312934;0.17343290870501274;0.16219074708477113;0.14055912983233707;0.07147375964750284
5,6,10,0.843453552071,d64/swarm-d64-k5d6.csv,6.047656354793401;2.772183155640135;0.3856847231064258;0.3879848778591744;0.3869290415733543;0.3883931973661652;0.39536915016658025;0.415366509150001;0.45746756879739053;0.5259129467171598,0.2130176684884974;1.7480157840221835;0.1721739015246125;0.17288855702481806;0.1742925618119605;0.17421145221324175;0.17124776320551466;0.15919365751515066;0.1355195553086;0.06874327161734535
5,7,1,0.646186354604,f64/local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.43825481579232495,0.20008475043612303
5,7,2,0.700817902678,f64/origin/p710-results/swarm-k5d7,5.938941411098752;3.6616255073232993,1.798318109075491;2.993041810629725
5,7,3,0.734428791034,f64/origin/p710-results/swarm-k5d7,3.442252811795284;3.5969081087001915;0.5033653405936873,0.23119076694405316;2.955181869164585;1.4450461132940866
5,7,4,0.757393337275,f64/origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.27508485366050056;0.416283741189956;0.4481190223937888;0.49332113416085077,0.22851683349202737;0.19169072538410006;0.17233217907032367;0.1106939587236407
5,7,5,0.774382304123,f64/origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.2576805107538953;0.3930686276395132;0.41274214886219407;0.43930507842585714;0.4861140491258072,0.22565489674619665;0.19082808292697373;0.17995297822404127;0.1634555530991473;0.09953148440638067
5,7,6,0.787526193237,f64/local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.24524545134994621;0.37636435296942655;0.3919919568410689;0.4039932183055537;0.4308624198718396;0.48113312927521845,0.2228757920475675;0.18815544864995543;0.18089014476341828;0.17372881715404012;0.1561802857158022;0.09066144500230534
5,7,7,0.798026144159,f64/origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.23573840945759456;0.363507674773723;0.3775068031102688;0.3839848232651685;0.39447840631110037;0.4244228910569029;0.4778262392582581,0.22022243351489312;0.1852510482933766;0.17926488729128165;0.17672171568846518;0.16909578315042625;0.14963811625980988;0.08342097360587841
5,7,8,0.806705267105,f64/local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.22872782613343892;0.3519838319828968;0.36612995545241966;0.3703980508915778;0.372961506956193;0.38473500973394065;0.4211138558854962;0.4767111933058696,0.2176412695694909;0.18200773269806367;0.17670378532916892;0.17563338122787445;0.17306304833739714;0.1648967378238543;0.14376217405463235;0.0775029139401717
5,7,9,0.814970005934,f64/origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.22454928838983843;0.3500965720714779;0.3649114374274515;0.37033806005760445;0.3715297024375619;0.38214010806139737;0.4076900303993447;0.45405700657778875;0.4984448290586068,0.2188933189183256;0.18210247879833752;0.1789237704006955;0.1785748851632998;0.1790843707101905;0.17727202763677974;0.16463781294561583;0.12952099150972995;0.05958724299539214
5,7,10,0.814871949126,d64/swarm-d64-k5d7.csv,2.920438370737112;5.938018641351506;0.4993325744860985;6.178406581187078;0.3639193081626959;0.3588460036779323;0.3640779364925981;0.3792273058388673;0.41645876269259857;0.4744618904345553,2.9253309966054677;1.3917324767899921;0.0877047993827085;2.8598795520598403;2.9694434052834286;2.9675348191245;2.970369837005177;2.9815988673683003;3.0051558760018082;3.0705823548306315
5,8,1,0.636280516324,f64/local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.550393879368669,0.20041636820674302
5,8,2,0.687409029390,f64/origin/p710-results/swarm-k5d8,5.96225258865148;0.48232773442840327,1.7978450754086406;0.14858443856760128
5,8,3,0.718981135459,f64/origin/p710-results/swarm-k5d8,0.2803521536652686;0.4221070174788741;5.818437187380373,0.23089996470208313;1.7561925452880196;1.6963357601178508
5,8,4,0.740669009249,f64/origin/stephen-apr6-results/20260331T232833-k5-d8-p1-15-r2-i320-s1234,2.885069796941789;3.5276329394487997;3.55543833125153;3.5958875752467163,1.7992372147155804;0.19102703063444756;0.17091484013305042;0.11030598605020422
5,8,5,0.756793864602,f64/local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.3818220122456526;3.5060234124707716;3.5229387909035923;3.546646915903104;3.5885692083459815,0.22571893106573504;0.1904383460045307;0.17907895430383228;0.16177974843216406;0.09904632542040137
5,8,6,0.769319380985,f64/origin/stephen-apr6-results/20260331T232833-k5-d8-p1-15-r2-i320-s1234,2.913022906697888;3.4904710494142703;3.503620181260453;3.5141801305213964;3.5385964066431197;3.5835201021742025,1.7938392723713275;0.18793205325240142;0.18025679881816814;0.17274265439174905;0.15434423114957882;0.090115216670507
5,8,7,0.779367338748,f64/local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.3612642317155688;3.4785393670041067;3.490208779215379;3.495627564976455;3.5049823806066045;3.5325423570136736;3.580116712973539,0.22048105472765012;0.18516434076500762;0.17884926328867923;0.1759015071122461;0.1680116872239089;0.14768176347157114;0.08283125586195295
5,8,8,0.787939273886,f64/origin/stephen-apr6-results/20260331T232833-k5-d8-p1-15-r2-i320-s1234,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.0762931518828213
5,8,9,0.801331449990,f64/local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.3550504713169396;3.4749243674216914;3.4850454898317635;3.489720190522952;3.495749850932505;3.5109416212695987;3.5421233017414377;3.582723805997508;3.592059394080588,0.22026288948823758;0.18696407178169183;0.1787558537481853;0.1781803600492607;0.1772453008243815;0.16933536749680234;0.14313071037252925;0.10679822085472837;0.04309826635197128
5,8,10,0.800340303158,d64/swarm-d64-k5d8.csv,2.9394735923877406;3.4544068479145986;5.9596530257370794;5.958807035378012;5.960158127038248;5.959158726928203;5.952999912620104;5.937844442945271;5.901291454779732;5.849355634666332,1.3568381626392845;1.393332229351391;2.9697113151872334;2.9693808270900615;2.9683440600338455;2.9689587209643666;2.973184777759975;2.985789953329459;3.011199956564092;3.0745272676378175
6,7,1,0.652695526988,f64/local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.59166425408145,2.965492877925421
6,7,2,0.709563562343,f64/origin/fleet3-vm7,3.500068280562812;3.6647236201636706,2.9461708221405787;0.13170928318103226
6,7,3,0.744380869194,d64/swarm-d64-k6d7.csv,5.967301339019954;5.821466530431259;5.780023813203595,1.3748427328763104;2.9792856151965856;3.0291257675195404
6,7,4,0.768094243166,f64/local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.432720970121681;3.5657906038818665;3.5916321710557497;3.632364072394907,2.9494305470098086;0.16462771703680254;2.989538771367662;0.09965862112929358
6,7,5,0.785559889308,f64/origin/stephen-apr6-results/20260331T233021-k6-d7-p1-15-r2-i320-s1234,3.4158616482738244;3.543695854964453;3.557800032706272;3.5796414532335437;3.6233753636921393,2.952942759540051;0.1626042825626685;2.98487167209743;0.1455669550407308;3.0514879053834707
6,7,6,0.799028052891,f64/local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.403869376573571;3.52794641470954;3.5380530033529163;3.5458389338614213;3.5688397966872665;3.616965831247816,2.9560107318880062;0.15944071164669738;2.985205580774331;0.1527033496853399;3.0014964391972425;0.08242911333800729
6,7,7,0.809762160136,f64/local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.394743172144363;3.515706870781751;3.524093312253158;3.5264381850460693;3.534031120760751;3.5606746566186898;3.6127239936693614,2.9588035422034524;0.15626905705791155;2.987468028301537;0.1541655808614878;2.9918842397864074;0.13505088485691094;3.065488556926123
6,7,8,0.819282871487,f64/origin/stephen-apr6-results/20260331T233021-k6-d7-p1-15-r2-i320-s1234,3.3870876616586965;3.504757367630458;3.5125258343595096;3.512893055244551;3.51437093557126;3.5251190594925443;3.560233470724154;3.617866367027907,2.961781416690674;0.15310056395332233;2.9905768160300883;0.15250971936167207;2.9890670322502335;0.14739772577097837;3.0100352842509155;0.0706236298828653
6,7,9,0.825727633699,d64/swarm-d64-k6d7.csv,6.04315549161676;5.9268526695937815;5.9191342973325725;5.921152275069181;5.9234085335792885;5.920663354555717;5.90780889405682;5.874520297301178;5.817173213778123,1.3926103278480668;2.9906902977425216;2.992463574310362;2.9904723678912197;2.9888918687926767;2.9896810602555677;2.9974746568667094;3.0160874018922557;3.0754135024824962
6,7,10,0.831847844585,d64/swarm-d64-k6d7.csv,6.048099609920984;5.933713525664355;5.9259794406355875;5.928881639289238;5.933020255425538;5.933909694340362;5.929226457866978;5.913598960787252;5.877439244627499;5.818410069261263,1.3945563856168341;2.9929971454533;2.994820111882824;2.9925898154148634;2.990129064000452;2.9892059930741137;2.9909247892032287;3.0003098102825545;3.0205211580601574;3.0793993989199215
6,8,1,0.642402453911,f64/local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.41987507683040287,0.17646271844723702
6,8,2,0.695667219631,f64/local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.3342319554367167;0.4850600800128922,0.1951225489469026;0.13181402891690747
6,8,3,0.728416690696,f64/origin/fleet3-vm8,0.2945870735553931;0.4279245921304386;0.46428441048709485,0.19582878368472154;0.16152122030015487;0.11234200078832358
6,8,4,0.750860989207,f64/origin/stephen-apr6-results/20260331T232833-k6-d8-p1-15-r2-i320-s1234,0.2715368942014355;0.393278670343317;0.4154402211680912;0.4516132012213954,0.19223006752870256;0.16417629750348164;0.15089455650450892;0.09936953418888557
6,8,5,0.767488743555,f64/local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.2557593610781891;0.37270813222827637;0.38438452234309434;0.40375425786701924;0.44269482170205005,0.1888366399349657;0.16238550166754714;0.15607437830119983;0.14418667436266014;0.08971989770937466
6,8,6,0.780373400042,f64/local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.244521171319094;0.3580519879443405;0.3659928856238092;0.372637519763238;0.3935714776355725;0.4363616322692652,0.18585283626841795;0.1593611678950304;0.15592968860722764;0.1519613918373465;0.1385857673017882;0.0819854599051731
6,8,7,0.790717791145,f64/local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.23589591523112885;0.34647657008892135;0.35307928334704475;0.3545656760604524;0.3612610073750363;0.38599315707241816;0.4321091067407813,0.18311382838350126;0.1562377921975143;0.1537193638405202;0.1534901510790186;0.14892854247719534;0.13347984919113717;0.07564071912177166
6,8,8,0.800834611529,f64/origin/stephen-apr6-results/20260331T232833-k6-d8-p1-15-r2-i320-s1234,0.22856070006573245;0.338395575015047;0.347477612123778;0.3487289129555226;0.35214116258684275;0.3657183954338304;0.3961124224381461;0.44419305614300736,0.1801376053194135;0.15575561711264163;0.15306331275291332;0.15468628346622942;0.15733631284941516;0.14972323313013516;0.1323192510093755;0.06923812311820007
6,8,9,0.806122202716,d64/swarm-d64-k6d8.csv,2.917833959486802;5.953020683623879;5.94725756536947;5.949581694153961;5.951859411418242;5.9493537954983315;5.93805082051124;5.906969631006795;5.85635156022964,1.392180818493714;1.4197514938440976;2.9925679096760587;2.9907506602992653;2.9893322346022595;2.990514414136173;2.9985018769849976;3.0178551211946845;3.0759608569174595
6,8,10,0.812075258515,d64/swarm-d64-k6d8.csv,2.922415461139049;5.959383939598567;5.953610013729263;5.956737780379974;5.960716725114455;5.96163679984666;5.957213468680757;5.943512439239604;5.909680565875222;5.857706385855241,1.394097714279439;1.422018609067163;2.9948696026662622;2.992790726996722;2.990457220231331;2.989699478157025;2.991854062035115;3.0014480780951827;3.022353817950103;3.0799758803508963
7,8,1,0.647730808612,f64/swarm/swarm-k7d8.csv,0.4295035045491004,0.15859679349527867
7,8,2,0.702648639883,f64/swarm/swarm-k7d8.csv,3.48770209484435;0.48767033237750484,2.969563316203125;1.4516277860715627
7,8,3,0.736252836891,f64/swarm/swarm-k7d8.csv,0.3073812690615036;2.708354474790482;5.819013249400007,1.7416787541239038;0.14410078163828446;1.6730532520163972
7,8,4,0.759208520833,d64/swarm-d64-k7d8.csv,2.8566134248129362;2.741786527616959;2.724572906427694;2.691822549663552,2.9748572171403036;2.9965749635095267;3.0055061939001226;3.0506884141273383
7,8,5,0.776148498768,d64/swarm-d64-k7d8.csv,2.8720123311335475;2.7615150868270617;2.7545180550059887;2.7386436246693155;2.7019577720080012,2.978523811422477;2.998956405575832;3.0021002586903167;3.010594194267242;3.059177961431641
7,8,6,0.789241443381,f64/origin/stephen-apr6-results/20260331T232833-k7-d8-p1-15-r2-i320-s1234,2.8829830677361983;3.5077251966059078;3.5109885405548034;3.5143812205216625;3.5326720914072176;3.573910222298009,1.7308108438122187;0.1394468608704673;0.13866883534492386;0.13684239309243748;0.12660993715358781;0.07555980247933844
7,8,7,0.799904225463,f64/origin/stephen-apr6-results/20260331T232833-k7-d8-p1-15-r2-i320-s1234,2.895111139130266;3.4930516968445002;3.4974520898598143;3.4987068282723226;3.5010190794588376;3.527421306006796;3.5709147696996455,1.726329820678636;0.1350104464519801;0.13671887304576447;0.1378621675706216;0.1359411564022978;0.1236111865456419;0.06981206555111226
7,8,8,0.808179034935,d64/swarm-d64-k7d8.csv,2.897855336185089;2.7949880187057197;2.793616970919809;2.7978619160151155;2.7991548992177897;2.7920018279883774;2.7661340189728887;2.718016456945433,2.986564398349585;3.0078837292554046;3.007621622087705;3.005187470415372;3.0042900023049386;3.008814379450074;3.0233162460574494;3.076579580936212
7,8,9,0.815259511100,d64/swarm-d64-k7d8.csv,2.903209497528058;2.8022397081214083;2.80098094910421;2.806656014775174;2.811041612311052;2.8101117975964764;2.80001873022947;2.7709160140697513;2.7205510934099046,2.9886104822380872;3.010291764973802;3.0100116243363404;3.0070543186202703;3.0047696651326707;3.0048066018188773;3.010978498481866;3.0273224779236294;3.0807417225413567
7,8,10,0.821241690059,d64/swarm-d64-k7d8.csv,2.907688246777219;2.8084034431424785;2.807064843144648;2.813593480898701;2.819720983465902;2.8221055607208085;2.818951871403105;2.8061844520665296;2.7742900507785144;2.7222785595379415,2.9904206625161187;3.012422986397178;3.012209333680462;3.0090555480381433;3.0060224231309567;3.004545134021541;3.0055597983755145;3.013276764279116;3.0312031142897973;3.0843840083822234
