# Composite best c̃ per (k,D,p) — F64 (below precision wall) + D64
# Generated 2026-04-15 10:10
k,D,p,ctilde,source,gamma,beta
3,5,11,0.835196864974,f64/origin/stephen-apr6-results/20260331T232833-k3-d5-p1-15-r2-i320-s1234,3.345523621072101;3.5128908277435347;3.5456727905648617;3.5628837751268185;3.571663510646181;3.5787437765219057;3.5892525987997197;3.6119481635657578;3.646685102562919;3.7167064456198586;3.795221764267317,2.7591399692174967;0.3114226325094759;2.852466233548585;0.28127081891617095;2.8662509195394037;0.26786317320534275;2.8832826907103333;0.2443088814458798;2.9296551536634334;0.1672122308250828;3.0621174477615445
3,5,12,0.839623756787,f64/origin/stephen-apr6-results/20260401T022726-k3-d5-p12-15-r2-i320-s1234,3.341419194481807;3.5059237585259577;3.5414095482875134;3.5583303719342974;3.5655164812770033;3.5746450195216077;3.58621510048361;3.60185938348531;3.6259418336910847;3.6652153690849683;3.7591664526328166;3.8432157575764228,2.7601932558766364;0.31037993884991155;2.852902036572891;0.2803671667377719;2.8654618569295387;0.2725311698712379;2.8772095574630083;0.24843095055854314;2.9137307484612895;0.19299232796685284;2.997095227869053;0.06677945833145849
3,5,13,0.842939019160,f64/origin/stephen-apr6-results,3.338850450956096;3.5110132157807294;3.542575718532385;3.557134413791582;3.5666026764264207;3.572884679813694;3.5803022044023063;3.5982089762153193;3.622213140401806;3.6776704909807036;3.7520314606139746;3.833221139741797;3.8377856788298432,2.756638887585415;0.31477667288583533;2.8533889504781107;0.2816697813168935;2.867380920371862;0.2687098421374101;2.877774749505637;0.24399983491020524;2.925598733042194;0.18775585982988435;2.992566348731548;0.11069510031860297;3.0821494034848937
3,6,1,0.640718868498,f64/local/20260331T043052-k3-d6-p1-12-r2-i320-s1234,0.44225821680268584,0.2883436771122114
3,6,2,0.691798945824,f64/local/20260331T043052-k3-d6-p1-12-r2-i320-s1234,0.33797609192916933;2.576869029610892,1.9268215778713196;1.780088912437619
3,6,3,0.723248754631,f64/local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.2897617588353273;0.4871176455449775;0.558715271502021,0.3774763069607525;0.28269043367223506;0.17204986609769293
3,6,4,0.744482066639,f64/local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.25994383170031105;0.44045990512305844;0.4928899323005626;0.5581327880597226,0.38260527285282997;0.3051273714544864;0.25128281000245606;0.147946669198929
3,6,5,0.760163659266,f64/local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.23947612162718535;0.41160609534010595;0.4482413428492515;0.49429214200287525;0.5582227983371922,0.38539726064808316;0.3127747995500904;0.27543175566785505;0.23138093856285702;0.13044542653250954
3,6,6,0.772240853157,d64/swarm-d64-k3d6.csv,6.0588329977979125;3.531666035639205;5.861344032019044;2.692928807425507;0.49385161561160246;0.5587976040715459,1.1847014319234226;1.255365347165606;2.856111163659318;1.3120922949137803;2.9260119045009385;1.4536960849122054
3,6,7,0.781862673769,f64/local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.21253269983070763;0.37354258562922593;0.4028327336342363;0.4230912487938;0.44626667369920237;0.49383930634915174;0.559768931096866,0.3859248956205413;0.31590747290790205;0.2893027891843241;0.2718768800633365;0.24577003271479558;0.20232163867523023;0.10657487326827156
3,6,8,0.789729626457,f64/local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.20304287007620392;0.3601865650078163;0.3883722779093325;0.4052407182924916;0.4206215844106958;0.44394611057920025;0.49469874957352006;0.5611166080373666,0.38527202139911054;0.3151914935630119;0.2903491690637127;0.2774741970565377;0.26169848556214265;0.23485972517657702;0.19077358100436873;0.09793860616667352
3,6,9,0.796296683237,f64/origin/stephen-apr6-results/20260331T232833-k3-d6-p1-15-r2-i320-s1234,0.19521423385427286;0.34909105712766597;0.3768012373155339;0.3919774334897764;0.4029313980395013;0.41777078874573625;0.4424941294912036;0.4963633166110129;0.5628567525187924,0.38437456137881076;0.313925428948246;0.2899927048617979;0.27966050106370455;0.26894058807919075;0.2532656700495688;0.22513820349559382;0.18049839149120955;0.09066724902563288
3,6,10,0.801875873877,f64/local/20260401T141240-k3-d6-p1-14-r2-i320-s1234,0.18859099683365085;0.3395751321866143;0.3671135298195639;0.38140593110410964;0.38988716644913574;0.39948204690409594;0.4154789425313905;0.4418247786798601;0.4984367614060668;0.5646541445918746,0.38331779336383176;0.3123121846793622;0.28887294417287834;0.2799648629223545;0.27225056995042407;0.2620362304689928;0.24574324001682368;0.2162964249270723;0.1713214082514946;0.08450277830071498
3,6,11,0.806743825390,f64/origin/stephen-apr6-results/20260401T022626-k3-d6-p11-15-r2-i320-s1234,0.18273963624789644;0.3302037467419467;0.3590738179280436;0.37240324998542323;0.37991472664329573;0.3874737480365784;0.39819996141064057;0.4139907160299143;0.44102632440683226;0.5058672371552317;0.5756412806981779,0.3812365765347383;0.31020039523795934;0.287690050912852;0.27913889629228933;0.27380079912787775;0.2675433897477534;0.2561846828608219;0.23749000475081852;0.20790086648857478;0.1637476645345408;0.07882151771017062
3,7,1,0.629519381067,f64/local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,0.40773374676474355,0.28860227562747015
3,7,2,0.676725383483,f64/local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,0.31129303317553486;2.6243790305837287,1.9249735137117763;1.3619736728738152
3,7,3,0.705903963232,d64/swarm-d64-k3d7.csv,3.4085282093470592;0.44562818977284147;2.632673353938303,2.7657183539573498;1.2911418794544518;1.7420279461302288
3,7,4,0.725710162242,d64/swarm-d64-k3d7.csv,6.043691762566224;2.7384990522395776;5.834445413792251;3.648538499045253,2.760180269925901;0.30254937731339515;1.818417975503999;1.4239129442490803
3,7,5,0.740397458097,d64/swarm-d64-k3d7.csv,3.3621486957198887;5.90658683884887;2.733232414221867;3.5906927637379615;2.635631440110802,1.955275627161269;0.3107570899492468;1.2982521970389964;1.7981285001996086;3.012290096521656
3,7,6,0.751745962603,d64/swarm-d64-k3d7.csv,3.348180391651597;0.3568556044014698;2.757461646331867;0.4079892482826223;5.834904669685364;5.777382314628832,0.38541363556021535;1.8845405243175806;1.2877666418395959;1.3151882897865401;2.9303109061644754;3.0257260876768224
3,7,7,0.760813367288,d64/swarm-d64-k3d7.csv,3.3372805199990445;0.3416975594638734;2.7747834950399;0.38449294623549946;5.87784721751585;5.8350570641496065;5.776996481488028,0.385418381627806;1.885317909942193;1.2835335672045225;1.3018176789617988;2.8991180264820597;2.9437654569980993;3.036342050202096
3,7,8,0.768246617692,d64/swarm-d64-k3d7.csv,3.328523354609617;0.32946422647818596;2.7880189601744694;0.36827555348047447;5.901422665372776;5.880230210027133;5.834344476857688;5.77619634091122,0.3849158596178624;1.8848486407273857;1.2821457673023087;1.2956408712608094;2.8832686209209535;2.9102301087560303;2.9554540839590775;3.045039910946043
3,7,9,0.774465062569,d64/swarm-d64-k3d7.csv,3.321293148396225;0.3192834335488556;2.7986069714515125;0.3561407354402846;5.917486495670802;5.904267880540936;5.881745361105383;5.832925571242406;5.77504809562845,0.3841352066180568;1.8837681140363567;1.2822162953781067;1.29307292740045;2.8752333570986197;2.892171163665486;2.9201397951826675;2.9658045345352093;3.052334273292568
3,7,10,0.779752189700,d64/swarm-d64-k3d7.csv,3.3151847952517843;0.31060237444820005;2.8073905599669096;0.3465667359619074;5.929258187538061;5.920739237428134;5.906402061615217;5.882443800589954;5.831038894807277;5.773681303326632,0.3831958221940806;1.882379954712617;1.2830665566380757;1.292346267932702;2.8714381139533995;2.882321590436663;2.9001827756513348;2.929180030663641;2.9750449087065913;3.0585312851596194
3,7,11,0.778760214189,f64/local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.2580077324995864;3.437855166773294;2.7932523577991484;3.032245176194622;0.4898594120412064;5.922187888101452;5.91186841943535;5.897219238516073;5.869548679103173;5.814303196565583;5.7568138604461065,2.5175212106351843;1.225124449769308;2.099428380105147;0.1769770929664053;1.2883505198997414;2.863567046995858;2.875750809041636;2.8949361502254147;2.924667898184309;2.9748929500031767;3.059884512000634
3,8,1,0.620630694864,f64/local/20260331T043309-k3-d8-p1-12-r2-i320-s1234,0.3802188543050168,0.288791111189221
3,8,2,0.664733284711,f64/local/20260331T043309-k3-d8-p1-12-r2-i320-s1234,0.2901085028115522;0.4800435424927932,0.3528686056653027;0.20850517616827527
3,8,3,0.692062773065,f64/local/20260331T043309-k3-d8-p1-12-r2-i320-s1234,2.892806339902555;0.4132519655478043;0.4704942389769398,1.945518769825441;0.27752592556244565;0.17068046935493872
3,8,4,0.710680775126,f64/origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9183640659961334;0.37389127481834017;0.41462544660415107;0.4676394243441167,1.9513371594389055;0.300682386766102;0.24504039005577466;0.14617168421616314
3,8,5,0.724527039205,f64/origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9360580526514637;0.34928642732497434;0.3775334388218734;0.4142554726343145;0.46592755744492337,1.9546016635230106;0.30928861354785653;0.27040195670239797;0.2244353551870204;0.12853646373719524
3,8,6,0.735252695827,f64/origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9490949347915736;0.3309562680461796;0.35506461136794376;0.37669468509517356;0.41312288617573256;0.46524065222209554,1.955707627796716;0.31251619477424813;0.28125022158184393;0.2532500186682737;0.20816015999382084;0.1150338116703038
3,8,7,0.743840537901,f64/origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9592650965265563;0.31687759546819105;0.339037134911691;0.3548707042569854;0.3739615687289993;0.41281198753228876;0.4651882939905892,1.9558418880575703;0.3135121650968761;0.2857649131156257;0.2668863899007597;0.23993755568384614;0.19453986551446428;0.10435859811450221
3,8,8,0.750894040158,f64/local/20260331T043309-k3-d8-p1-12-r2-i320-s1234,2.9674395638969058;0.3055184818727726;0.3267674139566095;0.3398964355464627;0.3519949567842411;0.3716394653033357;0.4133710775378661;0.46558010907569003,1.9554471099632695;0.31322092742753765;0.2874065236976969;0.2734166479786021;0.25591381822364984;0.22867231222181725;0.18273531182141486;0.09562027946558102
3,8,9,0.756813412291,f64/origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9742105821782743;0.2959345585709749;0.3168428608165028;0.3286116617053926;0.33701678672651647;0.34904773234754843;0.3702332637149641;0.4146245191295915;0.4662982209745769,1.9546626525091568;0.31213673870192205;0.28749825106319116;0.27616519802137607;0.26425334923931354;0.24668310281063083;0.21861610057927253;0.17227076221581625;0.08825546797275899
3,8,10,0.761973546975,f64/origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.980852906187546;0.28781048426602324;0.3097517700075317;0.31983024294829965;0.32665172562426686;0.3345759790251718;0.34776606522132236;0.3694564539791275;0.42116336537560256;0.4724662994505951,1.953343041046551;0.31234834624529045;0.28733556207975725;0.2777439299300479;0.26929690755748;0.258490112878763;0.23886222958226994;0.21066544734915235;0.16467333868623232;0.08262751947515264
3,8,11,0.767317510321,f64/origin/stephen-apr6-results/20260401T022656-k3-d8-p11-15-r2-i320-s1234,2.980719004811818;0.2899854955055593;0.30869482994038705;0.31516991467292316;0.3253875255974931;0.3422038998304888;0.3477422454807135;0.37505760433350127;0.4174359536193094;0.4677593874100595;0.47647892838439226,1.9545964769753217;0.3117755381004613;0.28445927913224656;0.2703649010001835;0.27059424522249936;0.2582958578783289;0.23698508132976784;0.21080302421585734;0.17035221150718816;0.11171488803344352;0.05048280681311382
4,5,1,0.666029441080,f64/local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.77615886154457,1.3373708849395642
4,5,2,0.727176266715,f64/local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.890000264083629;5.65372600891602,1.2928974103131294;1.398147655497664
4,5,3,0.764453585875,f64/local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.943506227187102;5.735964660851048;5.660318593761734,1.2841729948205827;1.3439322797630524;1.4254054503064162
4,5,4,0.789496028108,d64/swarm-d64-k4d5.csv,2.8336801445513307;5.786202477508196;5.732344024352837;5.664444876349442,0.285486601581099;1.8069656909374867;1.778760562599306;1.6984119634467525
4,5,5,0.807821743609,f64/local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.996607192627439;5.8156375158327585;5.7787164672959905;5.735924770352633;5.667838321193747,1.2871445711705187;1.333992892026226;1.3520617222535773;1.3749232043984863;1.4564605600710687
