timestamp_utc,k,D,p,start_index,evaluations,iterations,elapsed_seconds,value,gradient_norm,plateau_value_range,plateau_gradient_max,reason,gamma,beta
2026-05-29T02:55:37Z,2,8,13,1,16,0,3547.170847,0.733201877219,6.350890e-03,Inf,Inf,best_seen,0.14274752569960344;0.2751186718797343;0.29372219549571305;0.3142064645731709;0.3229886059461391;0.33179340779447913;0.3396973225105213;0.35546525454158373;0.3721183334975204;0.3938066077556628;0.4400169640233031;0.4952294954688361;0.5234212842867627,2.2027336004376052;2.089672196405498;2.042176972988361;2.023257159295406;1.9946287952652157;1.9702457697161648;1.9418428063104252;1.9079549100661017;1.8637424141677912;1.8198073178361258;1.774547612447118;1.7102805419542824;1.637372297122009
2026-05-29T03:06:15Z,2,8,13,1,19,0,4184.772745,0.733253638283,4.750747e-03,Inf,Inf,best_seen,0.1435412317295833;0.27347139826037253;0.29078050654674503;0.3112618896998923;0.31925958953059;0.3262597290833343;0.33677709028209457;0.35119364744824005;0.3685514654408078;0.38871443222497376;0.43241987388959835;0.4906265271318521;0.5253567294693262,2.203208616321713;2.0896151590241923;2.0448014842428246;2.0247946228079097;1.9986808138498942;1.9725664486575214;1.9454715965026028;1.9101053585471424;1.868354445910257;1.8238267606236616;1.7812948453629915;1.7186890141523405;1.6430570127529012
2026-05-29T03:17:13Z,2,8,13,1,22,0,4843.336628,0.733274295296,4.137044e-03,Inf,Inf,best_seen,0.14298865999709295;0.2716958120046108;0.28867069255511296;0.3095862854767743;0.31777853357418623;0.325326538223025;0.3350138474339398;0.34928253967537004;0.36466098436341365;0.38481084183978415;0.4277939840970619;0.48737003139519164;0.5264491504782373,2.2035695569706997;2.0892582731759206;2.0469675822497084;2.0254220819851234;1.999326390463652;1.973917183873335;1.9469901889768968;1.9130522177745712;1.8719904002400602;1.8275774590006864;1.7851019381392725;1.722423775832598;1.6453249841160473
2026-05-29T03:28:30Z,2,8,13,1,25,0,5519.919760,0.733317694095,4.958257e-03,Inf,Inf,best_seen,0.14125264673027482;0.269588157773208;0.2877856793186509;0.3093638200746348;0.3162239307188473;0.3258444117621201;0.33432297032753355;0.3477948233184795;0.36248965131007815;0.38343821278916473;0.42666101833590053;0.4854914322884541;0.5263566859476113,2.2041006678183113;2.0897392890192967;2.0471118210795707;2.026220193164701;1.9989976450210878;1.974771512937372;1.947618767721512;1.9153488213214331;1.8733749235487307;1.8299575331804083;1.785181596389841;1.7211628654978652;1.6437620667599127
2026-05-29T03:35:44Z,2,8,13,1,27,0,5953.497840,0.733318591386,5.809673e-03,Inf,Inf,best_seen,0.14059789398738573;0.2689301404826447;0.2876492717099303;0.30948565769948155;0.3156814399176131;0.32605410924177297;0.33425737043359766;0.3473538089221922;0.3620865999268296;0.38333470251040674;0.426718171242298;0.4850859105656512;0.5261913544927421,2.204281795530787;2.0900231756347565;2.046883547659863;2.0264950929812224;1.9988740331683104;1.9749749515054993;1.9477198347741;1.9159253487537293;1.8735073598661132;1.8305004263492033;1.7847740176371523;1.7202213319023834;1.642856248489687
2026-05-29T03:39:18Z,2,8,13,1,28,0,6167.594924,0.733320109355,3.146906e-03,Inf,Inf,best_seen,0.1389021699726842;0.26819048951025004;0.2868291247596807;0.3093848987923481;0.31552360131846674;0.32455661305777656;0.33316670313717206;0.34678140255416956;0.361937804514591;0.3829306273723917;0.4263198130435853;0.4836148012346611;0.5261825815268736,2.203983804045248;2.0902998368447534;2.046291479629541;2.0266424929742968;1.9988236888060904;1.976701309925446;1.9482881612749092;1.915990091962054;1.8741347200821448;1.8313895691343967;1.7845831817947402;1.7191829755523402;1.6417716449229973
2026-05-29T03:46:23Z,2,8,13,1,30,0,6593.004602,0.733336049882,5.696371e-03,Inf,Inf,best_seen,0.13977324492022658;0.26857044015457215;0.28725042531063827;0.3094366575449427;0.315604681286834;0.32532586052883344;0.33372696704201943;0.34707544146774005;0.36201423909639;0.3831381963674628;0.42652444530923606;0.48437049406687405;0.5261870881038386,2.2041368790240674;2.0901577189960374;2.046595618524776;2.026566775204116;1.9988495501563452;1.9758144984177615;1.9479962181446668;1.9159568340814637;1.8738124519757005;1.8309328261748967;1.7846812120873923;1.7197163678940788;1.6423287939559574
2026-05-29T03:53:35Z,2,8,13,1,32,0,7025.083249,0.733359036809,4.116650e-03,Inf,Inf,best_seen,0.13956708265343679;0.26848051507255405;0.28715071371081524;0.309424407506308;0.3155854916291392;0.32514379835059853;0.33359436619412486;0.347005849604127;0.3619961488887801;0.38308906983172686;0.42647601382597056;0.48419163994217973;0.5261860215066128,2.2041006498973874;2.090191354836358;2.046523636241004;2.0265846957598392;1.998843429403354;1.976024385145827;1.9480653139873085;1.9159647054133973;1.8738887250030973;1.83104092613132;1.7846580106999523;1.7195901268920029;1.6421969303225252
2026-05-29T05:05:15Z,2,8,13,1,52,0,11324.655153,0.733361287091,4.781288e-03,Inf,Inf,best_seen,0.13907610310134935;0.26819704828717894;0.2868101010139673;0.3091247733475979;0.3155482408867725;0.324502856802355;0.3332632124415357;0.34700346549889016;0.3622574539486966;0.3836497671874825;0.4270315111593787;0.4840224763364115;0.5259939218230439,2.2043484777791047;2.0905565319247614;2.046630230468519;2.026574592459616;1.9988959975623164;1.9765877386438138;1.9480657947385918;1.9156251914406195;1.8737873735697248;1.8306751799501884;1.7837225302870947;1.7184100493898953;1.6414156150027612
2026-05-29T05:34:04Z,2,8,13,1,52,0,11324.655153,0.733361287091,4.781288e-03,6.534869969710e-05,Inf,value_plateau,0.13907610310134935;0.26819704828717894;0.2868101010139673;0.3091247733475979;0.3155482408867725;0.324502856802355;0.3332632124415357;0.34700346549889016;0.3622574539486966;0.3836497671874825;0.4270315111593787;0.4840224763364115;0.5259939218230439,2.2043484777791047;2.0905565319247614;2.046630230468519;2.026574592459616;1.9988959975623164;1.9765877386438138;1.9480657947385918;1.9156251914406195;1.8737873735697248;1.8306751799501884;1.7837225302870947;1.7184100493898953;1.6414156150027612
