run_id,run_kind,runner_label,timestamp_utc,git_commit,git_branch,git_dirty,k,D,p,clause_sign,restarts,maxiters,seed,value,wall_time_seconds,best_start_wall_time_seconds,evaluations,starts,iterations,converged,retry_count,best_start_kind,gamma,beta
20260323T204737-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:47:37,71e795d55bcb451307784d6287917e996763ad0f,main,true,2,3,5,-1,2,400,1234,0.836380825133,18.956995,2.607538,9390,3,22,true,0,warm,0.3592362939489295;3.8476788992449817;3.9636825307096366;4.1457894307641165;4.295528974951954,0.6316660120693322;2.6190652109544;0.3901385093987062;2.8656004205599666;0.14929562439535315
20260323T205153-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:51:53,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,1,1,8,100,1234,0.676056660061,0.594136,0.000190,874,9,6,true,0,random,5.733134788369259,1.8581676764958104
20260323T205153-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:51:53,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,2,1,8,100,1234,0.739122784672,0.076917,0.009992,3780,9,10,true,0,random,5.860724485518708;3.862785933767188,1.9343887484187667;0.21145739998366236
20260323T205153-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:51:53,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,3,1,8,100,1234,0.777144062579,0.562189,0.026650,9018,9,11,true,0,warm,5.921790570843896;3.765841283405134;3.870022155832143,1.9545683210589744;0.2954713557481768;0.1759177622417219
20260323T205153-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:51:53,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,4,1,4,200,1234,0.802204018074,5.059793,0.529811,14506,5,36,true,0,warm,5.958874535779544;3.705175515860146;3.7832334746852223;3.874879081468522,1.9578963733177517;0.3147950491866447;0.26613976415382967;0.15295435440780566
20260323T205153-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:51:53,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,5,1,2,800,1234,0.820480966927,232.560747,46.019079,118024,4,400,false,1,warm,5.983716073837389;3.669913295145391;3.7264529858438795;3.789421140157773;3.8795683529933016,1.9596364822519563;0.32072701180528357;0.28570737272675895;0.24670633168058684;0.13540518745133817
20260323T205738-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:57:38,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,1,1,8,100,1234,0.676056660061,0.595009,0.000118,829,9,5,true,0,random,0.5500505130835712,1.2834249752859208
20260323T205738-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:57:38,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,2,1,8,100,1234,0.739122784672,0.071735,0.004418,3663,9,16,true,0,random,2.7191318341665287;2.4203993699554505,2.778000228969788;2.930135252430029
20260323T205738-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:57:38,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,3,1,8,100,1234,0.777144062579,0.539311,0.026088,8537,9,10,true,0,warm,2.7801979254622387;2.5173440452181213;2.413163171210082,2.757820661507268;2.846121300191449;2.965674890241769
20260323T205738-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:57:38,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,4,1,4,200,1234,0.802204018074,2.852487,0.236975,7995,5,13,true,0,warm,2.817281904198478;2.578009897378194;2.499952002108017;2.408306375349476,2.754492687027534;2.8267975747870007;2.87545291016714;2.988638251049513
20260323T205738-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:57:38,cc5ea0a089ec1e38bc340782d111a8c600349cdc,main,true,3,4,5,1,2,400,1234,0.820480966927,15.311060,2.092870,7374,3,17,true,0,warm,2.842123412022029;2.6132719820134502;2.556732260004057;2.4937640278172473;2.403616884373503,2.7527524775037446;2.820865626851361;2.855885218048857;2.8948862770875943;3.006187429943992
