k,D,p,round,gamma
3,7,10,4,3.033438721181
3,7,10,5,0.494121853719
3,7,10,6,5.917129369247
3,7,10,7,5.905572969418
3,7,10,8,5.882282258708
3,7,10,9,5.832854399374
3,7,10,10,5.774811307060
3,7,11,1,3.258007732500
3,7,11,2,3.437855166773
3,7,11,3,2.793252357799
3,7,11,4,3.032245176195
3,7,11,5,0.489859412041
3,7,11,6,5.922187888101
3,7,11,7,5.911868419435
3,7,11,8,5.897219238516
3,7,11,9,5.869548679103
3,7,11,10,5.814303196566
3,7,11,11,5.756813860446
3,7,12,1,0.165361032616
3,7,12,2,0.092722128796
3,7,12,3,3.488953875262
3,7,12,4,3.021068508317
3,7,12,5,0.506706426991
3,7,12,6,0.362535010409
3,7,12,7,0.376872720731
3,7,12,8,0.391905535866
3,7,12,9,0.422114932322
3,7,12,10,0.478262982183
3,7,12,11,0.522476654256
3,7,12,12,0.523631323208
3,7,13,1,0.165361032616
3,7,13,2,0.092722128796
3,7,13,3,3.488953875262
3,7,13,4,3.021068508317
3,7,13,5,0.506706426991
3,7,13,6,0.362535010409
3,7,13,7,0.376872720731
3,7,13,8,0.391905535866
3,7,13,9,0.422114932322
3,7,13,10,0.478262982183
3,7,13,11,0.522476654256
3,7,13,12,0.523631323208
3,7,13,13,0.523631323208
3,8,2,1,0.290108502812
3,8,2,2,0.480043542493
3,8,3,1,2.892806339903
3,8,3,2,0.413251965548
3,8,3,3,0.470494238977
3,8,4,1,2.918364065996
3,8,4,2,0.373891274818
3,8,4,3,0.414625446604
3,8,4,4,0.467639424344
3,8,5,1,2.936058052651
3,8,5,2,0.349286427325
3,8,5,3,0.377533438822
3,8,5,4,0.414255472634
3,8,5,5,0.465927557445
3,8,6,1,2.949094934792
3,8,6,2,0.330956268046
3,8,6,3,0.355064611368
3,8,6,4,0.376694685095
3,8,6,5,0.413122886176
3,8,6,6,0.465240652222
3,8,7,1,2.959265096527
3,8,7,2,0.316877595468
3,8,7,3,0.339037134912
3,8,7,4,0.354870704257
3,8,7,5,0.373961568729
3,8,7,6,0.412811987532
3,8,7,7,0.465188293991
3,8,8,1,2.967439563897
3,8,8,2,0.305518481873
3,8,8,3,0.326767413957
3,8,8,4,0.339896435546
3,8,8,5,0.351994956784
3,8,8,6,0.371639465303
3,8,8,7,0.413371077538
3,8,8,8,0.465580109076
3,8,9,1,2.974210582178
3,8,9,2,0.295934558571
3,8,9,3,0.316842860817
3,8,9,4,0.328611661705
3,8,9,5,0.337016786727
3,8,9,6,0.349047732348
3,8,9,7,0.370233263715
3,8,9,8,0.414624519130
3,8,9,9,0.466298220975
3,8,10,1,2.980852906188
3,8,10,2,0.287810484266
3,8,10,3,0.309751770008
3,8,10,4,0.319830242948
3,8,10,5,0.326651725624
3,8,10,6,0.334575979025
3,8,10,7,0.347766065221
3,8,10,8,0.369456453979
3,8,10,9,0.421163365376
3,8,10,10,0.472466299451
3,8,11,1,2.980719004812
3,8,11,2,0.289985495506
3,8,11,3,0.308694829940
3,8,11,4,0.315169914673
3,8,11,5,0.325387525597
3,8,11,6,0.342203899830
