k,D,p,round,beta
3,6,13,11,0.111446107454
3,6,13,12,0.044518686528
3,6,13,13,0.044518486532
3,6,14,1,0.383925782186
3,6,14,2,0.298712571106
3,6,14,3,0.283088240660
3,6,14,4,0.210651579978
3,6,14,5,0.265786915919
3,6,14,6,0.225689169082
3,6,14,7,0.271259692526
3,6,14,8,0.201970575924
3,6,14,9,0.209052353142
3,6,14,10,0.171155771863
3,6,14,11,0.118210273118
3,6,14,12,0.045861751243
3,6,14,13,0.043811336377
3,6,14,14,0.043052931605
3,7,2,1,1.924973513712
3,7,2,2,1.361973672874
3,7,3,1,0.645535222234
3,7,3,2,0.321713454872
3,7,3,3,1.378890524784
3,7,4,1,1.945789121720
3,7,4,2,2.864069396595
3,7,4,3,1.600627893252
3,7,4,4,1.744745246469
3,7,5,1,0.907519292922
3,7,5,2,0.471339948827
3,7,5,3,2.607620986501
3,7,5,4,2.861733377120
3,7,5,5,0.149413125403
3,7,6,1,2.514292573048
3,7,6,2,1.222520194017
3,7,6,3,2.113936415108
3,7,6,4,0.230050544689
3,7,6,5,1.340790414464
3,7,6,6,3.011502939583
3,7,7,1,2.516461301653
3,7,7,2,1.221425890499
3,7,7,3,2.108422769533
3,7,7,4,0.205984425820
3,7,7,5,1.311924582103
3,7,7,6,2.926699247171
3,7,7,7,3.022205069783
3,7,8,1,2.517768077705
3,7,8,2,1.222065627039
3,7,8,3,2.103281215276
3,7,8,4,0.192990832799
3,7,8,5,1.300603306174
3,7,8,6,2.896465897854
3,7,8,7,2.941109996118
3,7,8,8,3.034476275726
3,7,9,1,2.518525971200
3,7,9,2,1.223564275603
3,7,9,3,2.097800335548
3,7,9,4,0.183786833212
3,7,9,5,1.295415794876
3,7,9,6,2.880764305705
3,7,9,7,2.908003384404
3,7,9,8,2.953118241202
3,7,9,9,3.043305872865
3,7,10,1,2.518546784404
3,7,10,2,1.225081584586
3,7,10,3,2.094762528741
3,7,10,4,0.177992535904
3,7,10,5,1.292983464126
3,7,10,6,2.873786163989
3,7,10,7,2.891468494227
3,7,10,8,2.918149524326
3,7,10,9,2.963513972499
3,7,10,10,3.050839633383
3,7,11,1,2.517521210635
3,7,11,2,1.225124449769
3,7,11,3,2.099428380105
3,7,11,4,0.176977092966
3,7,11,5,1.288350519900
3,7,11,6,2.863567046996
3,7,11,7,2.875750809042
3,7,11,8,2.894936150225
3,7,11,9,2.924667898184
3,7,11,10,2.974892950003
3,7,11,11,3.059884512001
3,7,12,1,0.864038633413
